student_id,student_country,date_registered,purchase_id,purchase_type,date_purchased,days_taken,num_rated_courses,avg_rated_courses,avg_course_watched,total_time_watched,engagement_quizzes,engagement_exams,engagement_lessons,avg_exam_score,no_of_questions
258798,IN,2022-01-01,,,,,,,0.3,0.3,0.0,0.0,1.0,,
258799,CO,2022-01-01,,,,,,,,,,,,,
258801,IN,2022-01-01,,,,,,,,,,,,,
258802,US,2022-01-01,,,,,,,,,,,,,
258804,BD,2022-01-01,,,,,,,14.2,14.2,1.0,0.0,1.0,,
258805,BD,2022-01-01,,,,,,,,,,,,,
258806,NG,2022-01-01,,,,,,,,,,,,,
258807,US,2022-01-01,,,,,,,1.8,1.8,0.0,0.0,1.0,,
258808,SA,2022-01-01,,,,,,,,,,,,,
258809,ID,2022-01-01,,,,,,,17.766666666666666,53.3,2.0,0.0,3.0,,
258810,IN,2022-01-01,,,,,,,3.2,3.2,0.0,0.0,1.0,,
258811,DZ,2022-01-01,,,,,,,10.475,41.9,4.0,0.0,4.0,,
258812,IN,2022-01-01,,,,,,,2.2,2.2,0.0,0.0,1.0,,
258813,ET,2022-01-01,,,,,,,2.1,2.1,0.0,0.0,1.0,,
258814,IN,2022-01-01,,,,,,,4.4,8.8,0.0,0.0,2.0,,
258815,EG,2022-01-01,,,,,,,29.0,29.0,0.0,1.0,1.0,41.75,
258816,KE,2022-01-01,,,,,,,0.8,0.8,0.0,0.0,1.0,,
258817,IN,2022-01-01,,,,,,,0.4,0.4,0.0,0.0,1.0,,
258818,IN,2022-01-01,15845.0,Annual,2022-01-03,2 days,,,12.8,12.8,1.0,0.0,1.0,,
258819,ES,2022-01-01,,,,,,,6.6,6.6,1.0,0.0,1.0,,
258820,IN,2022-01-01,,,,,,,,,,,,,
258822,IN,2022-01-01,15941.0,Monthly,2022-01-09,8 days,,,25.0,50.0,1.0,2.0,2.0,50.0,
258823,BD,2022-01-01,,,,,,,,,,,,,
258824,US,2022-01-01,,,,,,,1.3,1.3,0.0,0.0,1.0,,
258825,IN,2022-01-01,,,,,,,,,,,,,
258826,CN,2022-01-01,,,,,,,0.3,0.3,0.0,0.0,1.0,,
258827,IN,2022-01-01,,,,,,,0.3,0.3,0.0,0.0,1.0,,
258828,IN,2022-01-01,,,,,,,0.4,0.4,0.0,0.0,1.0,,
258829,BR,2022-01-01,,,,,,,12.5,12.5,0.0,0.0,1.0,,
