student_country,date_registered,paid,num_rated_courses,avg_rated_courses,avg_course_watched,total_time_watched,engagement_quizzes,engagement_exams,engagement_lessons,avg_exam_score,no_of_questions
IN,2022-01-01,0,0.0,4.843362527906577,0.3,0.3,0.0,0.0,1.0,64.44682826482409,0.0
CO,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
BD,2022-01-01,0,0.0,4.843362527906577,14.2,14.2,1.0,0.0,1.0,64.44682826482409,0.0
BD,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
NG,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-01,0,0.0,4.843362527906577,1.8,1.8,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
ID,2022-01-01,0,0.0,4.843362527906577,17.766666666666666,53.3,2.0,0.0,3.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,3.2,3.2,0.0,0.0,1.0,64.44682826482409,0.0
DZ,2022-01-01,0,0.0,4.843362527906577,10.475,41.9,4.0,0.0,4.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,2.2,2.2,0.0,0.0,1.0,64.44682826482409,0.0
ET,2022-01-01,0,0.0,4.843362527906577,2.1,2.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,4.4,8.8,0.0,0.0,2.0,64.44682826482409,0.0
EG,2022-01-01,0,0.0,4.843362527906577,29.0,29.0,0.0,1.0,1.0,41.75,0.0
KE,2022-01-01,0,0.0,4.843362527906577,0.8,0.8,0.0,0.0,1.0,64.44682826482409,0.0
